intent,tweet_id,conversation_id,author_id,original_customer_message,normalized_message
Damaged or Defective Item,1645546,1645546,502833,❤️ my #signed copy @127390 but sad it’s damaged. @115821 the packaging was 3/4 open. No wonder it got damaged traveling to the uk. 😔 https://t.co/U4R7oaIn21,❤️ my #signed copy @127390 but sad it’s damaged. @115821 the packaging was 3/4 open. no wonder it got damaged traveling to the uk. 😔 https://t.co/u4r7oain21
Damaged or Defective Item,2664110,2664110,750689,@AmazonHelp order # 111-3489182-1231424 shows up like this today. 2nd package in 2 weeks that has arrived damaged due to shoddy packaging. Not pleased at all @115821 https://t.co/FaXfHAITws,@amazonhelp order # 111-3489182-1231424 shows up like this today. 2nd package in 2 weeks that has arrived damaged due to shoddy packaging. not pleased at all @115821 https://t.co/faxfhaitws
"Returns, Refunds & Cancellations",1430089,1423079,161035,"@AmazonHelp Hi, me again, just checked the status of this return, it states return started get label and instructions. I cancelled this before product","@amazonhelp hi, me again, just checked the status of this return, it states return started get label and instructions. i cancelled this before product"
"Returns, Refunds & Cancellations",191613,191616,161037,@AmazonHelp Crap. What should I do ? Your telephonic team told me to cancel this order. Holding my money in amazon pay. They asked me to call bank.,@amazonhelp crap. what should i do ? your telephonic team told me to cancel this order. holding my money in amazon pay. they asked me to call bank.
"Returns, Refunds & Cancellations",2184758,2184759,294519,"@115821 @115850 I have done what so ever is required, i couldn't wait any longer so bought a mobile from store, kindly refund the amount","@115821 @115850 i have done what so ever is required, i couldn't wait any longer so bought a mobile from store, kindly refund the amount"
"Returns, Refunds & Cancellations",248612,248620,175067,"@AmazonHelp Last 1 month why not refund my product
Can tell me what happened ur service
I want defolt product return and money back .","@amazonhelp last 1 month why not refund my product
can tell me what happened ur service
i want defolt product return and money back ."
"Returns, Refunds & Cancellations",810781,810781,313187,I placed a return request &amp; it was supposed to be picked up on 10th. its 13th now and I am not even contacted yet! 1/2 @115850 @AmazonHelp,i placed a return request &amp; it was supposed to be picked up on 10th. its 13th now and i am not even contacted yet! 1/2 @115850 @amazonhelp
Payment & Billing,2281546,2281546,663186,i had £10 in my bank account but accidentally bought an amazon prime membership r u forking kidding me,i had £10 in my bank account but accidentally bought an amazon prime membership r u forking kidding me
Payment & Billing,757152,757152,300941,@AmazonHelp I’m looking to preorder two video games (physical copy). Will I be charged now or when they are released/dispatched?,@amazonhelp i’m looking to preorder two video games (physical copy). will i be charged now or when they are released/dispatched?
Payment & Billing,2922527,2922527,808790,"@115850
All the items in my cart are showing free delivery on order above ₹599 but at time of checkout it is adding ₹100 delivery charge
Please help https://t.co/nx9N9oaPUq","@115850
all the items in my cart are showing free delivery on order above ₹599 but at time of checkout it is adding ₹100 delivery charge
please help https://t.co/nx9n9oapuq"
Payment & Billing,317898,317899,191863,"@AmazonHelp Nope. I ordered one, and then got charged and sent on last month and again this month, £7 each time","@amazonhelp nope. i ordered one, and then got charged and sent on last month and again this month, £7 each time"
Payment & Billing,982042,982042,352836,"Sweet, someone took all my money out of my bank account and put it into amazon. Now have no money and banks are all closed today 😡","sweet, someone took all my money out of my bank account and put it into amazon. now have no money and banks are all closed today 😡"
Delivery & Shipping Delays,472345,472349,227489,"@AmazonHelp As you can see, If I order today.. Only can get delivery on Monday &amp; I ordered on Monday this week for delivery on Wednesday . https://t.co/4jTcgTon9A","@amazonhelp as you can see, if i order today.. only can get delivery on monday &amp; i ordered on monday this week for delivery on wednesday . https://t.co/4jtcgton9a"
Delivery & Shipping Delays,2515050,2515052,716504,@AmazonHelp It still says “on its way”. I’ve emailed the seller and your customer service since I haven’t received any info at all about it’s delay,@amazonhelp it still says “on its way”. i’ve emailed the seller and your customer service since i haven’t received any info at all about it’s delay
Delivery & Shipping Delays,167876,167876,155058,you've left two things off my order @115830 who do I complain too and when can it get delivered tonight? It was a prime now order.,you've left two things off my order @115830 who do i complain too and when can it get delivered tonight? it was a prime now order.
Delivery & Shipping Delays,435749,435749,218505,"@115821 prime promises 2 days delivery, which is a myth. i'm cancelling my membership now.i had enough lies for one life time","@115821 prime promises 2 days delivery, which is a myth. i'm cancelling my membership now.i had enough lies for one life time"
Delivery & Shipping Delays,318619,318619,191919,Approaching law enforcement agencies as misleading  status evasive response from @120169.@15704 @AmazonHelp .Aramex shipment 1760858890,approaching law enforcement agencies as misleading  status evasive response from @120169.@15704 @amazonhelp .aramex shipment 1760858890
Orders & General Order Issues,2766382,2766382,280569,"@115830 come on guys, is there a reason that my order is still out of stock after a month","@115830 come on guys, is there a reason that my order is still out of stock after a month"
Orders & General Order Issues,2260732,2260732,658261,When you order something from @115821  prime and it doesn't come in two days like it's suppose to once again. #amazonprimefail https://t.co/gCmAku2Ec3,when you order something from @115821  prime and it doesn't come in two days like it's suppose to once again. #amazonprimefail https://t.co/gcmaku2ec3
Orders & General Order Issues,2132884,2132884,627593,So @115830 have tried to take 3 payments out for my order. 2 have cleared (totalled up to the value of my order) But a additional £1 pending transaction! Seems like daylight robbery to me! https://t.co/52NJdhc9Tp,so @115830 have tried to take 3 payments out for my order. 2 have cleared (totalled up to the value of my order) but a additional £1 pending transaction! seems like daylight robbery to me! https://t.co/52njdhc9tp
Orders & General Order Issues,1153657,1153658,391437,@AmazonHelp The Sam Smith website had a link to Amazon to preorder the album for a presale code for tickets tomorrow am which is why I bought it 😩,@amazonhelp the sam smith website had a link to amazon to preorder the album for a presale code for tickets tomorrow am which is why i bought it 😩
Orders & General Order Issues,1211101,1211101,404276,@AmazonHelp umm hello. i was trying to buy something with a gift card but it wont proceed. may i know why i cant continue? https://t.co/jfH9jLJWgd,@amazonhelp umm hello. i was trying to buy something with a gift card but it wont proceed. may i know why i cant continue? https://t.co/jfh9jljwgd
Account & Security,275129,275129,181733,@115821 Please help! Someone hacked my account and I can’t contact you on your website as they changed the email and I cannot log in!,@115821 please help! someone hacked my account and i can’t contact you on your website as they changed the email and i cannot log in!
Account & Security,2290926,2290926,665422,Someone has hacked my @115830 account which is always a great start to Sunday. Aaaargh! 😩,someone has hacked my @115830 account which is always a great start to sunday. aaaargh! 😩
Account & Security,2142878,2142883,630043,@AmazonHelp I can’t even get acces to my account,@amazonhelp i can’t even get acces to my account
Account & Security,2683540,2683540,277604,"@AmazonHelp I have two echo devices attached to my account. One is on my profile, the other is on another profile in the amazon household but both actually on my [account]. If I ask for a music unlimited echo on the one on their profile, who pays for it? Me or them?","@amazonhelp i have two echo devices attached to my account. one is on my profile, the other is on another profile in the amazon household but both actually on my [account]. if i ask for a music unlimited echo on the one on their profile, who pays for it? me or them?"
Account & Security,2103406,2103406,621052,"@115823
Added money Rs. 459 to my account against mob: 9664042501 but not added to my account","@115823
added money rs. 459 to my account against mob: 9664042501 but not added to my account"
Prime & Subscriptions,2606174,2606174,215287,"Had 2x Amazon Prime Same Day fails in 24 hours for 2x different address + given false / conflicting information, can you help @AmazonHelp ?","had 2x amazon prime same day fails in 24 hours for 2x different address + given false / conflicting information, can you help @amazonhelp ?"
Prime & Subscriptions,710026,710032,289778,"@AmazonHelp apparently i have amazon prime now for a month, yet i still can't connect to twitch prime .. so .. what gives? xD","@amazonhelp apparently i have amazon prime now for a month, yet i still can't connect to twitch prime .. so .. what gives? xd"
Prime & Subscriptions,138939,138939,147312,Getting seriously pissed off with @115821 customer service! Why do I pay for prime?,getting seriously pissed off with @115821 customer service! why do i pay for prime?
Prime & Subscriptions,1188553,1188554,399500,@AmazonHelp Numerous prime items. It won't let me click on my orders on the app either. Just noticed this happening today.,@amazonhelp numerous prime items. it won't let me click on my orders on the app either. just noticed this happening today.
Prime & Subscriptions,444246,444250,220244,@AmazonHelp I don’t think you sell anything not nice. Love the prime next day. I now have more football books than I’ll ever read.,@amazonhelp i don’t think you sell anything not nice. love the prime next day. i now have more football books than i’ll ever read.
Digital Services & Media,745050,745052,298107,"@AmazonHelp It's the Kindle app from Windows store, there is no browser.","@amazonhelp it's the kindle app from windows store, there is no browser."
Digital Services & Media,218105,218113,167998,@AmazonHelp I don’t feel like going through all that got out of work late gotta put on my stream I’ll just play cuphead it’s all good just disappointed,@amazonhelp i don’t feel like going through all that got out of work late gotta put on my stream i’ll just play cuphead it’s all good just disappointed
Digital Services & Media,2124817,2124817,625777,"@7108 Hello, are the prices for the Justice League sale books in the Kindle Store already discounted? They seem to be higher than at Comixology, usually they're almost the same.","@7108 hello, are the prices for the justice league sale books in the kindle store already discounted? they seem to be higher than at comixology, usually they're almost the same."
Digital Services & Media,1645620,1645620,502852,kindle fire hd8でオフラインで本が読めない,kindle fire hd8でオフラインで本が読めない
Digital Services & Media,1363170,1363171,437408,@AmazonHelp Pelli choopulu(Telugu movie 2016),@amazonhelp pelli choopulu(telugu movie 2016)
Seller & Marketplace Issues,132478,132474,145888,"@145886 @AmazonHelp Agreed. It’s a joke when it’s a random seller, when it’s sold by Amazon directly it’s just pathetic! (For random sellers it’s usually that the cheap courier they use doesn’t operate in NI)","@145886 @amazonhelp agreed. it’s a joke when it’s a random seller, when it’s sold by amazon directly it’s just pathetic! (for random sellers it’s usually that the cheap courier they use doesn’t operate in ni)"
Seller & Marketplace Issues,179175,179169,158240,@AmazonHelp I am shocked.That how can u add seller with half https://t.co/xITKKrwr5z have no contact details of seller. He is not responding.,@amazonhelp i am shocked.that how can u add seller with half https://t.co/xitkkrwr5z have no contact details of seller. he is not responding.
Seller & Marketplace Issues,73577,73577,132118,@115850 worst seller performance service.,@115850 worst seller performance service.
Seller & Marketplace Issues,637040,637053,271071,@AmazonHelp Again sent a MSG to the seller. But can't see it in the sent items https://t.co/L3Zky95eG2,@amazonhelp again sent a msg to the seller. but can't see it in the sent items https://t.co/l3zky95eg2
Seller & Marketplace Issues,183573,183573,159170,"@AmazonHelp

1.AS PER YOUR INSTRUCTIONS I HAVE FORWARDED THE MAIL TO THE THIRD PARTY SUPPLIER.","@amazonhelp

1.as per your instructions i have forwarded the mail to the third party supplier."
App & Website Technical Issues,301797,301798,188005,@AmazonHelp I tried it and the MLB network feed won't load. The audio for the radio broadcast works but not mlbn-nat https://t.co/6qD8ALYmRV,@amazonhelp i tried it and the mlb network feed won't load. the audio for the radio broadcast works but not mlbn-nat https://t.co/6qd8alymrv
App & Website Technical Issues,1071123,1071123,358424,My Amazon Firestick won't load the home screen and I have tried everything. Love my life. 🙃🙃🙃,my amazon firestick won't load the home screen and i have tried everything. love my life. 🙃🙃🙃
App & Website Technical Issues,2664402,2664400,750747,"@AmazonHelp I've already done that twice. I have to restart my phone for it to work. If I close the app, it won't load again untill I restart my phone.","@amazonhelp i've already done that twice. i have to restart my phone for it to work. if i close the app, it won't load again untill i restart my phone."
App & Website Technical Issues,179534,179534,158286,@115850 the site is down for iOS users?,@115850 the site is down for ios users?
App & Website Technical Issues,1221775,1221776,406689,@AmazonHelp Our home screen won't load,@amazonhelp our home screen won't load
Customer Service Complaint,9959,9959,117845,@116935 worst customer service; got hung up on twice,@116935 worst customer service; got hung up on twice
Customer Service Complaint,2783137,2783138,167356,@117795 @AmazonHelp @117795  Im fed-up wid d name Amazon.. coz it's a worst service 1 can ever get,@117795 @amazonhelp @117795  im fed-up wid d name amazon.. coz it's a worst service 1 can ever get
Customer Service Complaint,111775,111775,140828,"Are @115830 kidding me right now?! Don’t get my parcel, signature has been forged and one of their customer service advisors hung up on me 😡","are @115830 kidding me right now?! don’t get my parcel, signature has been forged and one of their customer service advisors hung up on me 😡"
Customer Service Complaint,851609,851605,337836,"@115850 @AmazonHelp feel cheated, horrible service. CC called abdul behaved rude and unprofesional @1560  @131027","@115850 @amazonhelp feel cheated, horrible service. cc called abdul behaved rude and unprofesional @1560  @131027"
Customer Service Complaint,2877845,2877845,410562,@115830 @115821 has the worst customer service. Is talking to ten different representatives about the same issue really that efficient? NO,@115830 @115821 has the worst customer service. is talking to ten different representatives about the same issue really that efficient? no
Other/Unclear,2615127,2615130,739221,@AmazonHelp En effet « En préparation »,@amazonhelp en effet « en préparation »
Other/Unclear,2318705,2318705,672133,Technische Probleme bei @116316 ??,technische probleme bei @116316 ??
Other/Unclear,1370167,1370168,438935,"@AmazonHelp 今朝確認してたらメールきていたので大丈夫です。
お騒がせしてしまい申し訳ありません。","@amazonhelp 今朝確認してたらメールきていたので大丈夫です。
お騒がせしてしまい申し訳ありません。"
Other/Unclear,1916368,1916373,570802,@80 @116928 @130687 ¿Conocen en @116928 el lamentable servicio de entrega de paquetes que dan por culpa de @80? cc @130687 @115821 #fail https://t.co/AL1PkTKIWi,@80 @116928 @130687 ¿conocen en @116928 el lamentable servicio de entrega de paquetes que dan por culpa de @80? cc @130687 @115821 #fail https://t.co/al1pktkiwi
Other/Unclear,1525949,1525950,473919,"@AmazonHelp Der Verkäufer ist Sony, obwohl das Gerät nicht gut verarbeitet ist.","@amazonhelp der verkäufer ist sony, obwohl das gerät nicht gut verarbeitet ist."
